Time:       Temperature:       Altitude:        Pressure:
2014:14:01:04:28	-024.16556	22561.86210	72:28139	
2014:14:01:04:29	-021.15709	22969.53468	72:36851	
2014:14:01:04:29	-021.10606	22981.08937	72:43834	
2014:14:01:04:29	-020.37492	23455.05666	72:87315	
2014:14:01:04:29	-017.83687	23906.08690	73:05554*
2014:14:01:04:30	-017.45654	24046.54417	73:23793	
2014:14:01:04:30	-016.54613	24056.48033	73:46608	
2014:14:01:04:30	-013.41628	24108.26638	73:52274	
2014:14:01:04:30	-013.28222	24331.91916	73:72861	
2014:14:01:04:31	-011.43866	24348.81051	74:02909	
2014:14:01:04:31	-009.21928	24569.32951	74:04546	
2014:14:01:04:31	-008.39873	24601.17919	74:35349	
2014:14:01:04:31	-008.21534	24918.74048	75:00562	
2014:14:01:04:32	-007.02845	25175.19796	75:16140*
2014:14:01:04:32	-005.76149	25186.63947	75:31717	
2014:14:01:04:32	-005.17614	25772.97785	75:45234	
2014:14:01:04:32	-004.11294	25854.30412	75:45244	
2014:14:01:04:33	000.79717	25889.38686	75:52943	
2014:14:01:04:33	001.38579	26926.58631	76:08575*
2014:14:01:04:33	002.99585	27185.03562	76:64207	
2014:14:01:04:33	004.96832	27583.98996	76:66965	
2014:14:01:04:34	005.38940	27637.93730	76:76768	
2014:14:01:04:34	006.28644	28354.17474	76:98630	
2014:14:01:04:34	008.77747	28937.95663	77:52150	
2014:14:01:04:34	009.16028	29497.08166	77:64513	
2014:14:01:04:35	010.25116	29559.20597	77:66271	
2014:14:01:04:35	015.37233	29753.15519	77:71095	
2014:14:01:04:35	016.40046	29866.30614	78:49934	
2014:14:01:04:35	021.27850	29977.77614	79:13014	
2014:14:01:04:36	023.50627	30409.85931	79:72476	
